DATE,TIME-S,TIME-E,FCW TEAM,VS.   ,,LOCATION,FIELD,,EVENT
3 Wednesdays,5:15 PM,6:30 PM,Junior Academy ,,,FC Wisconsin sf,Val Olla #01,,Training
5 Fridays,5:15 PM,6:30 PM,Junior Academy ,,,FC Wisconsin sf,Val Olla #01,,Training
,,,,,,,,,
"Saturday, September 6, 2025",TBA,,Junior Academy ,Rush WI SE,,Anderson Fields,,,YA Club v Club 
"Sunday, September 7, 2025",TBA,,Junior Academy ,LUFC,,FC Wisconsin sf,Sarah Hegarty #02,,YA Club v Club 
"Sunday, September 14, 2025",TBA,,Junior Academy ,Lake Country,,TBA,,,YA Club v Club 
"Saturday, September 20, 2025",TBA,,Junior Academy ,SC Wave,,FC Wisconsin sf,Sarah Hegarty #02,,YA Club v Club 
"Saturday, October 11, 2025",TBA,,Junior Academy ,AFC Union,,SCORe,,,YA Club v Club 
"Sunday, October 19, 2025",TBA,,Junior Academy ,NSU,,FC Wisconsin sf,Sarah Hegarty #02,,YA Club v Club 
"Sunday, October 26, 2025",TBA,,Junior Academy ,EBU Black,,TBA,,,YA Club v Club 
10/25/2025,TBA,,Junior Academy ,EBU Pink,,FC Wisconsin sf,Sarah Hegarty #02,,YA Club v Club 
,,,,,,,,,
1 Mondays,5:00 PM,6:30 PM,11UB   Pre-ECNL ,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
2 Tuesdays,5:00 PM,6:30 PM,11UB   Pre-ECNL ,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,5:00 PM,6:30 PM,11UB   Pre-ECNL ,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Saturday, August 30, 2025",,,11UB   Pre-ECNL ,,,Sportscore II,,,Tournament- Rockford Labor Day
"Sunday, August 31, 2025",,,11UB   Pre-ECNL ,,,Sportscore II,,,Tournament- Rockford Labor Day
,,,,,,,,,
"Saturday, October 11, 2025",,,11UB   Pre-ECNL ,,,Olympic Park,,,Tournament-Sockers Fall Classic
"Sunday, October 12, 2025",,,11UB   Pre-ECNL ,,,Olympic Park,,,Tournament-Sockers Fall Classic
,,,,,,,,,
1 Mondays,5:00 PM,6:30 PM,11UB  Pre- ECNL Black,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
2 Tuesdays,5:00 PM,6:30 PM,11UB  Pre- ECNL Black,,,FC Wisconsin sf,Val Olla #01,,Training
4 Thursdays,5:00 PM,6:30 PM,11UB  Pre- ECNL Black,,,FC Wisconsin sf,Sarah Hegarty #02,,Training
,,,,,,,,,
"Friday, August 22, 2025",,,11UB  Pre- ECNL Black,,,Anderson Park,,,Tournament-Kenosha Battle of the Border
