PARK,Fields,Club,Location address 1,Alternative address #2,,,Location Map,Field Map,,,,
60 Acres Park,,,"15200 NE 116th St,"," Redmond, WA 98052",,,"https://www.google.com/maps/dir//Sixty+Acres+Park,+15200+NE+116th+St,+Redmond,+WA+98052/@47.7026186,-122.1414807,857m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x54900d16ac8a81ef:0x53f59e0cb0d737c5!2m2!1d-122.140177!2d47.7047699?entry=ttu&g_ep=EgoyMDI1MDUyOC4wIKXMDSoASAFQAw%3D%3D",,,,,
84th & Grange Field,,SCW Greendale,"5600 Gardenway,","Greendale,",WI,53129,"https://www.google.com/maps/dir//84th+and+grange/@43.1238729,-88.2428746,11z/data=!4m8!4m7!1m0!1m5!1m1!1s0x88050e186156f191:0x42d67a188e540667!2m2!1d-88.0194676!2d42.9431588",,,,,
Academy of Holy Angels school,,"MTA, MN","6600 Nicollet Ave, ",Minneapolis,MN,55423,,,,,,
Ackerman Grove Park,,WUFC,"4875 COUNTY HIGHWAY Z,",West Bend,WI,53095,"https://www.google.com/maps/dir//Ackerman's+Grove+County+Park,+4875+Co+Hwy+Z,+West+Bend,+WI+53095/@43.3672725,-88.2303083,16z/data=!4m9!4m8!1m0!1m5!1m1!1s0x88045912e6c0aedf:0x57ce87708769baf8!2m2!1d-88.2254259!2d43.3676244!3e0",,,,,
AHA - Academy of Holy Angels school,,"MTA, MN","6600 Nicollet Ave,",Minneapolis,MN,55423,,,,,,
Akzo Nobel Park,,United Hurricanes," 1600 Pinecrest Rd.,",Howard,WI,54313,,,,,,
AKZO NOBEL SPORTS COMPLEX,,,"1600 Pinecrest Road,",Howard,WI,54313,54313,,,,,
Alex West Memorial ,,Capital East SC,"505 Dempsey Rd, ",Madison,WI,54714,"https://www.google.com/maps/dir//505+Dempsey+Rd,+Madison,+WI+53714/@43.0897752,-89.3179899,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8806515162241b0d:0x1c117845eaabc3f6!2m2!1d-89.3157959!2d43.0897752!3e0",,,,,
ALLOUEZ KIWANIS PARK,,3517 E. River Drive,3517 E. River Drive,Green Bay,WI,54301,"https://www.google.com/maps/dir//Village+of+Allouez+-+Kiwanis+Park,+3517+E+River+Dr,+Allouez,+WI+54301/@43.8933276,-88.8054645,9z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8802fca614d863df:0x83c7033d54ee8097!2m2!1d-88.0215911!2d44.4543585!3e0?entry=ttu",,,,,
Anderson Park,,Kenosha/Racine Union,"Anderson SP, 8730 22nd Ave.",Kenosha,WI,53143,"https://www.google.com/maps/place/Anderson+Park/@42.5459606,-87.8383983,15z/data=!4m5!3m4!1s0x0:0x8a1f12e27bb70b9d!8m2!3d42.5459606!4d-87.8383983",,,,MKSC - FIELDS,https://www.mksc.org/fields
Armory,,Pewaukee-Sussex SC,"w239n5664 Maple Ave, ",Sussex,WI,53089,,,http://psu.pewaukeesussexunited.com/organizations/1655/pages/87305,,,
Ashwaubenon SC,,FC Green Bay,1640 Fernando Dr.,Ashwaubenon,WI,54115,"https://www.google.com/maps/dir/''/Ashwaubenon+Sports+Complex/@44.4612466,-88.1973482,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x8802f92af8d72fe5:0xd82f0d45dc651f25!2m2!1d-88.1273084!2d44.461268",,,,,
ASHWAUBENON SPORTS COMPLEX,Ashwaubenon Sports Complex,,"1640 Fernando Drive,",Ashwaubenon,WI,54115,54115,�,,,,
ASHWAUBOMAY MEMORIAL RIVER PARK,Ashwaubomay Memorial River Park,,"2881 S Broadway,",Green Bay,WI,54304,"https://www.google.com/maps/dir//Ashwaubomay+Memorial+River+Park,+Ashwaubenon,+WI+54304/@43.8872516,-89.4609802,8z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8802fb85611b0231:0x58c512dcb8492e3!2m2!1d-88.0595345!2d44.4666236!3e0?entry=ttu",�,,,,
Austin-Tindell Sports Complex,Field Map,Austin-Tindell Sports Complex,4100 Boggey Creek Rd.,Kissimee,FL,34744,"https://www.google.com/maps/dir//Austin-Tindall+Sports+Complex,+4100+Boggy+Creek+Rd,+Kissimmee,+FL+34744/@28.3321536,-81.2891118,15z/data=!4m9!4m8!1m0!1m5!1m1!1s0x88dd891064dc3ecb:0x7d0d493b6767b1e6!2m2!1d-81.2788335!2d28.332154!3e0?entry=ttu",,,,,
Badger High School,,Lake Geneva Lakers,"220 E South St,",Lake Geneva,WI,53147,"https://www.google.com/maps/dir//Badger+High+School,+220+E+South+St,+Lake+Geneva,+WI+53147/@42.9416835,-88.2786958,10z/data=!4m9!4m8!1m0!1m5!1m1!1s0x88058a363d3ce3b7:0xf52594d2aaf374ef!2m2!1d-88.4196046!2d42.5737967!3e0?entry=ttu",,,,,
Badger Prairie Park at Reddan Park,,Madison 56ers,4654 Maple Grove Dr,Verona,WI,53593,"https://www.google.com/maps/dir//Badger+Prairie+Cnty+Pk,+4654+Maple+Grove+Dr,+Verona,+WI+53593/@43.1873706,-88.8432593,8z/data=!4m9!4m8!1m0!1m5!1m1!1s0x8807b0fc2e567905:0x41f9aabc927aa6e9!2m2!1d-89.5200693!2d42.9983153!3e0?entry=ttu",,,,,
